referencia,descripcion,tipo
1,Como Retinol Equivalente (RE).,Vitamina
2,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
3,"1 mcg beta-caroteno = 0,167 mcg RE.",Vitamina
4,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
5,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
6,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
7,"Niacina: niacina preformada (ácido nicotínico + nicotinamida). Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
8,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
9,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
10,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
11,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
12,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
13,"Como Tocoferol equivalente (TE). Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
14,"Para embarazadas, lactantes y niños no se deberá exceder la IDR establecida en el Artículo 1387 del CAA.",Vitamina
15,"Valores establecidos para poblaciones iguales o mayores a 19 años. Como equivalente de actividad de retinol (RAE). 1 RAE = 3,33 UI de vitamina A.",Vitamina
16,Valores establecidos para poblaciones iguales o mayores a 19 años. Como equivalente de folato dietético (EFD).,Vitamina
17,"Valores establecidos para poblaciones iguales o mayores a 19 años. Considerar factor de conversión 1 mcg beta-caroteno = 0,167 mcg RE.",Vitamina
18,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
19,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
20,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
21,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
22,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
23,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
24,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
25,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
26,Valores establecidos para poblaciones iguales o mayores a 19 años. Como Colecalciferol. 1 μg colecalciferol = 40 UI vitamina D.,Vitamina
27,Valores establecidos para poblaciones iguales o mayores a 19 años. Como α-tocoferol.,Vitamina
28,Valores establecidos para poblaciones iguales o mayores a 19 años.,Vitamina
29,Se debe incluir frase de advertencia especifica en el rotulo sobre el consumo de este ingrediente.,Vitamina
30,Se debe incluir frase de advertencia especifica en el rotulo sobre el consumo de este ingrediente.,Vitamina
31,Se debe incluir frase de advertencia especifica en el rotulo sobre el consumo de este ingrediente.,Vitamina
32,Se debe incluir frase de advertencia especifica en el rotulo sobre el consumo de este ingrediente.,Vitamina
33,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
34,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
35,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
36,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
37,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
38,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
39,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
40,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
41,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
42,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
43,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
44,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
45,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
46,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
47,Valor máximo establecido para hombres a partir de 19 años.,Vitamina
48,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
49,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
50,UL: Límite Superior PF: Productos farmacéuticos,Vitamina
51,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
52,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
53,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
54,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
55,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
56,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
57,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
58,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
59,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
60,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos),Vitamina
61,AL: Suplementos alimenticios (alimentos) PF: Suplementos dietéticos (productos farmacéuticos) NE: No establecido.,Vitamina
