pais,ingrediente,tipo,unidad,minimo,maximo,establecido,categoria_regulacion,referencias,valor_original
Argentina,Vitamina A / Retinol,Vitamina,µg,180.0,3000.0,True,Estándar,1,180 - 3000 [1]
Argentina,Ácido Fólico,Vitamina,µg,72.0,1000.0,True,Estándar,2,72 - 1000 [2]
Argentina,Beta Caroteno,Vitamina,mg,1.08,17.96,True,Estándar,3,"1,08 - 17,96 [3]"
Argentina,Biotina,Vitamina,µg,9.0,2500.0,True,Estándar,4,9 - 2500 [4]
Argentina,Vit B1 / Tiamina,Vitamina,mg,0.36,100.0,True,Estándar,5,"0,36 - 100 [5]"
Argentina,Vit B2 / Riboflavina,Vitamina,mg,0.39,200.0,True,Estándar,6,"0,39 - 200 [6]"
Argentina,Vit B3 / Niacina,Vitamina,mg,4.8,500.0,True,Estándar,7,"4,8 - 500 [7]"
Argentina,Vit B5 / Ac. Pantoténico,Vitamina,mg,1.5,1000.0,True,Estándar,8,"1,5 - 1000 [8]"
Argentina,Vit B6 / Piridoxina,Vitamina,mg,0.39,100.0,True,Estándar,9,"0,39 - 100 [9]"
Argentina,Vit B12 / Cianocobalamina,Vitamina,µg,0.72,3000.0,True,Estándar,10,"0,72 - 3000 [10]"
Argentina,Vit C / Ac. Ascórbico,Vitamina,mg,13.5,2000.0,True,Estándar,11,"13,5 - 2000 [11]"
Argentina,Vitamina D,Vitamina,µg,1.5,100.0,True,Estándar,12,"1,5 - 100 [12]"
Argentina,Vitamina E /d-tocoferol,Vitamina,mg,3.0,1000.0,True,Estándar,13,3 - 1000 [13]
Argentina,Vitamina K,Vitamina,µg,19.5,10000.0,True,Estándar,14,"19,5 - 10000 [14]"
Argentina,Colina,Vitamina,mg,,,False,Estándar,,No establecidos
Brasil,Vitamina A / Retinol,Vitamina,µg,135.0,2623.61,True,Estándar,15,"135 - 2623,61 [15]"
Brasil,Ácido Fólico,Vitamina,µg,60.0,1281.5,True,Estándar,16,"60 - 1281,5 [16]"
Brasil,Beta Caroteno,Vitamina,mg,0.8,12.12,True,Estándar,17,"0,8 - 12,12 [17]"
Brasil,Biotina,Vitamina,µg,4.5,5.64,True,Estándar,18,"4,5 - 5,64 [18]"
Brasil,Vit B1 / Tiamina,Vitamina,mg,0.18,2.02,True,Estándar,19,"0,18 - 2,02 [19]"
Brasil,Vit B2 / Riboflavina,Vitamina,mg,0.2,2.74,True,Estándar,20,"0,2 - 2,74 [20]"
Brasil,Vit B3 / Niacina,Vitamina,mg,2.4,35.0,True,Estándar,21,"2,4 - 35 [21]"
Brasil,Vit B5 / Ac. Pantoténico,Vitamina,mg,0.75,5.64,True,Estándar,22,"0,75 - 5,64 [22]"
Brasil,Vit B6 / Piridoxina,Vitamina,mg,0.26,98.6,True,Estándar,23,"0,26 - 98,60 [23]"
Brasil,Vit B12 / Cianocobalamina,Vitamina,µg,0.36,9.64,True,Estándar,24,"0,36 - 9,64 [24]"
Brasil,Vit C / Ac. Ascórbico,Vitamina,mg,13.5,1916.02,True,Estándar,25,"13,5 - 1916,02 [25]"
Brasil,Vitamina D,Vitamina,µg,3.0,50.0,True,Estándar,26,3 - 50 [26]
Brasil,Vitamina E /d-tocoferol,Vitamina,mg,2.25,1000.0,True,Estándar,27,"2,25 - 1000 [27]"
Brasil,Vitamina K,Vitamina,µg,0.18,149.06,True,Estándar,28,"0,18 - 149,06 [28]"
Brasil,Colina,Vitamina,mg,82.5,3235.15,True,Estándar,,"82,5 - 3235,15"
Chile,Vitamina A / Retinol,Vitamina,µg,200.0,1000.0,True,Estándar,,200 - 1000
Chile,Ácido Fólico,Vitamina,µg,100.0,500.0,True,Estándar,,100 - 500
Chile,Beta Caroteno,Vitamina,mg,5.0,15.0,True,Estándar,,may-15
Chile,Biotina,Vitamina,µg,30.0,150.0,True,Estándar,,30 - 150
Chile,Vit B1 / Tiamina,Vitamina,mg,0.7,6.0,True,Estándar,,"0,7 - 6"
Chile,Vit B2 / Riboflavina,Vitamina,mg,0.8,6.0,True,Estándar,,"0,8 - 6"
Chile,Vit B3 / Niacina,Vitamina,mg,4.5,20.0,True,Estándar,,"4,5 - 20"
Chile,Vit B5 / Ac. Pantoténico,Vitamina,mg,5.0,25.0,True,Estándar,,may-25
Chile,Vit B6 / Piridoxina,Vitamina,mg,1.0,50.0,True,Estándar,,ene-50
Chile,Vit B12 / Cianocobalamina,Vitamina,µg,1.0,12.0,True,Estándar,,1-dic
Chile,Vit C / Ac. Ascórbico,Vitamina,mg,60.0,1000.0,True,Estándar,,60 - 1000
Chile,Vitamina D,Vitamina,µg,2.0,20.0,True,Estándar,,feb-20
Chile,Vitamina E /d-tocoferol,Vitamina,mg,20.0,500.0,True,Estándar,,20 - 500
Chile,Vitamina K,Vitamina,µg,80.0,600.0,True,Estándar,,80 - 600
Chile,Colina,Vitamina,mg,275.0,2000.0,True,Estándar,,275 - 2000
Colombia,Vitamina A / Retinol,Vitamina,µg,3000.0,3000.0,True,Estándar,29,No establecido - 3000 [29]
Colombia,Ácido Fólico,Vitamina,µg,1000.0,1000.0,True,Estándar,,No establecido - 1000
Colombia,Beta Caroteno,Vitamina,mg,72.0,72.0,True,Estándar,,No establecido - 72
Colombia,Biotina,Vitamina,µg,900.0,900.0,True,Estándar,,No establecido - 900
Colombia,Vit B1 / Tiamina,Vitamina,mg,100.0,100.0,True,Estándar,30,No establecido - 100 [30]
Colombia,Vit B2 / Riboflavina,Vitamina,mg,40.0,40.0,True,Estándar,,No establecido - 40
Colombia,Vit B3 / Niacina,Vitamina,mg,35.0,35.0,True,Estándar,,No establecido - 35
Colombia,Vit B5 / Ac. Pantoténico,Vitamina,mg,200.0,200.0,True,Estándar,,No establecido - 200
Colombia,Vit B6 / Piridoxina,Vitamina,mg,100.0,100.0,True,Estándar,,No establecido - 100
Colombia,Vit B12 / Cianocobalamina,Vitamina,µg,2000.0,2000.0,True,Estándar,31,No establecido - 2000 [31]
Colombia,Vit C / Ac. Ascórbico,Vitamina,mg,1000.0,1000.0,True,Estándar,,No establecido - 1000
Colombia,Vitamina D,Vitamina,µg,50.0,50.0,True,Estándar,,No establecido - 50
Colombia,Vitamina E /d-tocoferol,Vitamina,mg,1000.0,1000.0,True,Estándar,,No establecido - 1000
Colombia,Vitamina K,Vitamina,µg,1000.0,1000.0,True,Estándar,32,No establecido - 1000 [32]
Colombia,Colina,Vitamina,mg,,,False,Estándar,,No establecidos
Costa Rica,Vitamina A / Retinol,Vitamina,µg,300.0,3000.0,True,Estándar,,300 - 3000
Costa Rica,Ácido Fólico,Vitamina,µg,80.0,1000.0,True,Estándar,,80 - 1000
Costa Rica,Beta Caroteno,Vitamina,mg,25.0,25.0,True,Estándar,,No establecido - 25
Costa Rica,Biotina,Vitamina,µg,60.0,60.0,True,Estándar,,60 - No establecido
Costa Rica,Vit B1 / Tiamina,Vitamina,mg,0.3,0.3,True,Estándar,,"0,3 - No establecido"
Costa Rica,Vit B2 / Riboflavina,Vitamina,mg,0.34,0.34,True,Estándar,,"0,34 - No establecido"
Costa Rica,Vit B3 / Niacina,Vitamina,mg,4.0,35.0,True,Estándar,,abr-35
Costa Rica,Vit B5 / Ac. Pantoténico,Vitamina,mg,2.0,2.0,True,Estándar,,2 - No establecido
Costa Rica,Vit B6 / Piridoxina,Vitamina,mg,0.4,100.0,True,Estándar,,"0,4 - 100"
Costa Rica,Vit B12 / Cianocobalamina,Vitamina,µg,1.2,1.2,True,Estándar,,"1,2 - No establecido"
Costa Rica,Vit C / Ac. Ascórbico,Vitamina,mg,12.0,0.0,True,Estándar,,dic-00
Costa Rica,Vitamina D,Vitamina,µg,2.0,60.0,True,Estándar,,feb-60
Costa Rica,Vitamina E /d-tocoferol,Vitamina,mg,4.0,1000.0,True,Estándar,,4 - 1000
Costa Rica,Vitamina K,Vitamina,µg,16.0,16.0,True,Estándar,,16 - No establecido
Costa Rica,Colina,Vitamina,mg,,,False,Estándar,,None
República Dominicana,Vitamina A / Retinol,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Ácido Fólico,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Beta Caroteno,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Biotina,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Vit B1 / Tiamina,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vit B2 / Riboflavina,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vit B3 / Niacina,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vit B5 / Ac. Pantoténico,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vit B6 / Piridoxina,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vit B12 / Cianocobalamina,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Vit C / Ac. Ascórbico,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vitamina D,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Vitamina E /d-tocoferol,Vitamina,mg,,,False,Estándar,,No establecido
República Dominicana,Vitamina K,Vitamina,µg,,,False,Estándar,,No establecido
República Dominicana,Colina,Vitamina,mg,,,False,Estándar,,No establecido
Ecuador,Vitamina A / Retinol,Vitamina,µg,120.0,3000.0,True,Estándar,33,120 - 3000 [33]
Ecuador,Ácido Fólico,Vitamina,µg,30.0,1000.0,True,Estándar,34,30 - 1000 [34]
Ecuador,Beta Caroteno,Vitamina,mg,0.72,0.72,True,Estándar,35,"0,72 - No establecido [35]"
Ecuador,Biotina,Vitamina,µg,45.0,45.0,True,Estándar,36,45 - No establecido [36]
Ecuador,Vit B1 / Tiamina,Vitamina,mg,0.21,0.21,True,Estándar,37,"0,21 - No establecido [37]"
Ecuador,Vit B2 / Riboflavina,Vitamina,mg,0.24,0.24,True,Estándar,38,"0,24 - No establecido [38]"
Ecuador,Vit B3 / Niacina,Vitamina,mg,2.7,35.0,True,Estándar,39,"2,7 - 35 [39]"
Ecuador,Vit B5 / Ac. Pantoténico,Vitamina,mg,1.5,1.5,True,Estándar,40,"1,5 - No establecido [40]"
Ecuador,Vit B6 / Piridoxina,Vitamina,mg,0.3,100.0,True,Estándar,41,"0,3 - 100 [41]"
Ecuador,Vit B12 / Cianocobalamina,Vitamina,µg,0.15,0.15,True,Estándar,42,"0,15 - No establecido [42]"
Ecuador,Vit C / Ac. Ascórbico,Vitamina,mg,9.0,2000.0,True,Estándar,43,9 - 2000 [43]
Ecuador,Vitamina D,Vitamina,µg,0.75,100.0,True,Estándar,44,"0,75 - 100 [44]"
Ecuador,Vitamina E /d-tocoferol,Vitamina,mg,3.0,1000.0,True,Estándar,45,3 - 1000 [45]
Ecuador,Vitamina K,Vitamina,µg,12.0,12.0,True,Estándar,46,12 - No establecido [46]
Ecuador,Colina,Vitamina,mg,3500.0,3500.0,True,Estándar,47,No establecido - 3500 [47]
Guatemala,Vitamina A / Retinol,Vitamina,µg,15.0,3000.0,True,Suplementos Alimenticios,48,AL:15-3000 / PF:160-3000 [48]
Guatemala,Vitamina A / Retinol,Vitamina,µg,160.0,3000.0,True,Productos Farmacéuticos,48,AL:15-3000 / PF:160-3000 [48]
Guatemala,Ácido Fólico,Vitamina,µg,66.0,1000.0,True,Suplementos Alimenticios,49,AL:66-1000 / PF:80-1000 [49]
Guatemala,Ácido Fólico,Vitamina,µg,80.0,1000.0,True,Productos Farmacéuticos,49,AL:66-1000 / PF:80-1000 [49]
Guatemala,Beta Caroteno,Vitamina,mg,,,False,Estándar,,No establecidos
Guatemala,Biotina,Vitamina,µg,8.0,60.0,True,Límite Superior,50,"UL:8-60 / PF:6-2,5 [50]"
Guatemala,Biotina,Vitamina,µg,6.0,2.5,True,Productos Farmacéuticos,50,"UL:8-60 / PF:6-2,5 [50]"
Guatemala,Vit B1 / Tiamina,Vitamina,mg,0.02,0.15,True,Suplementos Alimenticios,51,"AL:0,02-0,15 / PF:0,24-100 [51]"
Guatemala,Vit B1 / Tiamina,Vitamina,mg,0.24,100.0,True,Productos Farmacéuticos,51,"AL:0,02-0,15 / PF:0,24-100 [51]"
Guatemala,Vit B2 / Riboflavina,Vitamina,mg,0.32,2.4,True,Suplementos Alimenticios,52,"AL:0,32-2,4 / PF:0,24-200 [52]"
Guatemala,Vit B2 / Riboflavina,Vitamina,mg,0.24,200.0,True,Productos Farmacéuticos,52,"AL:0,32-2,4 / PF:0,24-200 [52]"
Guatemala,Vit B3 / Niacina,Vitamina,mg,0.32,900.0,True,Suplementos Alimenticios,53,"AL:0,32-900 / PF:3-35 [53]"
Guatemala,Vit B3 / Niacina,Vitamina,mg,3.0,35.0,True,Productos Farmacéuticos,53,"AL:0,32-900 / PF:3-35 [53]"
Guatemala,Vit B5 / Ac. Pantoténico,Vitamina,mg,1.0,7.5,True,Suplementos Alimenticios,54,"AL:1-7,5 / PF:1-1000 [54]"
Guatemala,Vit B5 / Ac. Pantoténico,Vitamina,mg,1.0,1000.0,True,Productos Farmacéuticos,54,"AL:1-7,5 / PF:1-1000 [54]"
